+-------------+--------------+----------------+-------------+------------+--------------+
|     I_O     | File_Size_KB | Buffer_size_KB | Write_Count | Read_Count | Time_Taken_s |
+-------------+--------------+----------------+-------------+------------+--------------+
|    Write    |      1k      |       1k       |      0      |     1      |   1.8e-05s   |
| Total_Write |      1k      |       1k       |      1      |     1      |   1.8e-05s   |
|     Read    |      1k      |       1k       |      1      |     0      |    1e-06s    |
|  Total_Read |      1k      |       1k       |      1      |     1      |    1e-06s    |
|  AIO_Write  |      1k      |       1k       |      1      |     1      |  0.019385s   |
|   AIO_Read  |      1k      |       1k       |      1      |     1      |   4.4e-05s   |
|  MMap_Write |      1k      |       1k       |      1      |     1      |   0.00675s   |
|  MMap_Read  |      1k      |       1k       |      1      |     1      |   7.5e-05s   |
| UMmap_Write |      1k      |       1k       |      1      |     1      |  0.011291s   |
|  UMmap_Read |      1k      |       1k       |      1      |     1      |  0.010953s   |
|    Write    |      4k      |       1k       |      0      |     1      |   1.8e-05s   |
|    Write    |      4k      |       1k       |      1      |     1      |    2e-06s    |
|    Write    |      4k      |       1k       |      2      |     1      |    1e-06s    |
|    Write    |      4k      |       1k       |      3      |     1      |    1e-06s    |
| Total_Write |      4k      |       1k       |      4      |     1      |   5.5e-06s   |
|     Read    |      4k      |       1k       |      4      |     0      |    1e-06s    |
|  Total_Read |      1k      |       1k       |      4      |     1      |    1e-06s    |
|  AIO_Write  |      4k      |       1k       |      4      |     1      |  0.007526s   |
|   AIO_Read  |      4k      |       1k       |      4      |     1      |   5.5e-05s   |
|  MMap_Write |      4k      |       1k       |      4      |     1      |  0.007751s   |
|  MMap_Read  |      4k      |       1k       |      4      |     1      |   7.5e-05s   |
| UMmap_Write |      4k      |       1k       |      4      |     1      |  0.010603s   |
|  UMmap_Read |      4k      |       1k       |      4      |     1      |  0.008591s   |
|    Write    |      4k      |       1k       |      0      |     4      |   1.7e-05s   |
|    Write    |      4k      |       1k       |      1      |     4      |    2e-06s    |
|    Write    |      4k      |       1k       |      2      |     4      |    1e-06s    |
|    Write    |      4k      |       1k       |      3      |     4      |    1e-06s    |
| Total_Write |      4k      |       1k       |      4      |     4      |  5.25e-06s   |
|     Read    |      4k      |       1k       |      4      |     0      |    1e-06s    |
|     Read    |      4k      |       1k       |      4      |     1      |      0s      |
|     Read    |      4k      |       1k       |      4      |     2      |      0s      |
|     Read    |      4k      |       1k       |      4      |     3      |      0s      |
|  Total_Read |      4k      |       1k       |      4      |     4      |   2.5e-07s   |
|  AIO_Write  |      4k      |       1k       |      4      |     4      |  0.010978s   |
|   AIO_Read  |      4k      |       1k       |      4      |     4      |   3.7e-05s   |
|  MMap_Write |      4k      |       1k       |      4      |     4      |  0.004447s   |
|  MMap_Read  |      4k      |       1k       |      4      |     4      |   8.1e-05s   |
| UMmap_Write |      4k      |       1k       |      4      |     4      |  0.007821s   |
|  UMmap_Read |      4k      |       1k       |      4      |     4      |  0.010047s   |
|    Write    |      8k      |       1k       |      0      |     1      |   1.7e-05s   |
|    Write    |      8k      |       1k       |      1      |     1      |    2e-06s    |
|    Write    |      8k      |       1k       |      2      |     1      |    1e-06s    |
|    Write    |      8k      |       1k       |      3      |     1      |    1e-06s    |
|    Write    |      8k      |       1k       |      4      |     1      |    6e-06s    |
|    Write    |      8k      |       1k       |      5      |     1      |    2e-06s    |
|    Write    |      8k      |       1k       |      6      |     1      |    1e-06s    |
|    Write    |      8k      |       1k       |      7      |     1      |    1e-06s    |
| Total_Write |      8k      |       1k       |      8      |     1      |  3.875e-06s  |
|     Read    |      8k      |       1k       |      8      |     0      |    1e-06s    |
|  Total_Read |      1k      |       1k       |      8      |     1      |    1e-06s    |
|  AIO_Write  |      8k      |       1k       |      8      |     1      |  0.009198s   |
|   AIO_Read  |      8k      |       1k       |      8      |     1      |   4.3e-05s   |
|  MMap_Write |      8k      |       1k       |      8      |     1      |  0.005553s   |
|  MMap_Read  |      8k      |       1k       |      8      |     1      |   9.3e-05s   |
| UMmap_Write |      8k      |       1k       |      8      |     1      |  0.008854s   |
|  UMmap_Read |      8k      |       1k       |      8      |     1      |  0.006461s   |
