+-------------+--------------+----------------+-------------+------------+--------------+
|     I_O     | File_Size_MB | Buffer_size_MB | Write_Count | Read_Count | Time_Taken_s |
+-------------+--------------+----------------+-------------+------------+--------------+
|    Write    |     100m     |      100m      |      0      |     1      |  0.280911s   |
| Total_Write |     100m     |      100m      |      1      |     1      |  0.280911s   |
|     Read    |     100m     |      100m      |      1      |     0      |  0.389871s   |
|  Total_Read |     100m     |      100m      |      1      |     1      |  0.389871s   |
|  AIO_Write  |     100m     |      100m      |      1      |     1      |  0.747949s   |
|   AIO_Read  |     100m     |      100m      |      1      |     1      |   0.33267s   |
|  MMap_Write |     100m     |      100m      |      1      |     1      |  0.852583s   |
|  MMap_Read  |     100m     |      100m      |      1      |     1      |  0.737322s   |
| UMmap_Write |     100m     |      100m      |      1      |     1      |   0.41364s   |
|  UMmap_Read |     100m     |      100m      |      1      |     1      |  0.831873s   |
|    Write    |     400m     |      100m      |      0      |     1      |  0.202746s   |
|    Write    |     400m     |      100m      |      1      |     1      |  0.403453s   |
|    Write    |     400m     |      100m      |      2      |     1      |   0.29988s   |
|    Write    |     400m     |      100m      |      3      |     1      |  0.442023s   |
| Total_Write |     400m     |      100m      |      4      |     1      |  0.337026s   |
|     Read    |     400m     |      100m      |      4      |     0      |   0.34239s   |
|  Total_Read |     100m     |      100m      |      4      |     1      |   0.34239s   |
|  AIO_Write  |     400m     |      100m      |      4      |     1      |   3.32217s   |
|   AIO_Read  |     400m     |      100m      |      4      |     1      |  0.316084s   |
|  MMap_Write |     400m     |      100m      |      4      |     1      |   1.66978s   |
|  MMap_Read  |     400m     |      100m      |      4      |     1      |   0.87279s   |
| UMmap_Write |     400m     |      100m      |      4      |     1      |  0.426913s   |
|  UMmap_Read |     400m     |      100m      |      4      |     1      |  0.840379s   |
|    Write    |     400m     |      100m      |      0      |     4      |  0.176426s   |
|    Write    |     400m     |      100m      |      1      |     4      |   0.36634s   |
|    Write    |     400m     |      100m      |      2      |     4      |   0.28994s   |
|    Write    |     400m     |      100m      |      3      |     4      |   0.29873s   |
| Total_Write |     400m     |      100m      |      4      |     4      |  0.282859s   |
|     Read    |     400m     |      100m      |      4      |     0      |  0.309235s   |
|     Read    |     400m     |      100m      |      4      |     1      |  0.267547s   |
|     Read    |     400m     |      100m      |      4      |     2      |  0.257832s   |
|     Read    |     400m     |      100m      |      4      |     3      |  0.320596s   |
|  Total_Read |     400m     |      100m      |      4      |     4      |  0.288802s   |
|  AIO_Write  |     400m     |      100m      |      4      |     4      |   3.75386s   |
|   AIO_Read  |     400m     |      100m      |      4      |     4      |   1.17981s   |
|  MMap_Write |     400m     |      100m      |      4      |     4      |   2.15425s   |
|  MMap_Read  |     400m     |      100m      |      4      |     4      |   1.6728s    |
| UMmap_Write |     400m     |      100m      |      4      |     4      |  0.452601s   |
|  UMmap_Read |     400m     |      100m      |      4      |     4      |   1.12738s   |
|    Write    |     800m     |      100m      |      0      |     1      |  0.219546s   |
|    Write    |     800m     |      100m      |      1      |     1      |  0.451015s   |
|    Write    |     800m     |      100m      |      2      |     1      |  0.359429s   |
|    Write    |     800m     |      100m      |      3      |     1      |  0.244738s   |
|    Write    |     800m     |      100m      |      4      |     1      |  0.367194s   |
|    Write    |     800m     |      100m      |      5      |     1      |  0.291576s   |
|    Write    |     800m     |      100m      |      6      |     1      |  0.335695s   |
|    Write    |     800m     |      100m      |      7      |     1      |  0.528988s   |
| Total_Write |     800m     |      100m      |      8      |     1      |  0.349773s   |
|     Read    |     800m     |      100m      |      8      |     0      |  0.278308s   |
|  Total_Read |     100m     |      100m      |      8      |     1      |  0.278308s   |
|  AIO_Write  |     800m     |      100m      |      8      |     1      |   9.86448s   |
|   AIO_Read  |     800m     |      100m      |      8      |     1      |  0.787603s   |
|  MMap_Write |     800m     |      100m      |      8      |     1      |   3.62965s   |
|  MMap_Read  |     800m     |      100m      |      8      |     1      |   1.49179s   |
| UMmap_Write |     800m     |      100m      |      8      |     1      |  0.702804s   |
|  UMmap_Read |     800m     |      100m      |      8      |     1      |  0.887703s   |
|    Write    |     800m     |      100m      |      0      |     4      |  0.241932s   |
|    Write    |     800m     |      100m      |      1      |     4      |  0.345422s   |
|    Write    |     800m     |      100m      |      2      |     4      |  0.287611s   |
|    Write    |     800m     |      100m      |      3      |     4      |  0.421187s   |
|    Write    |     800m     |      100m      |      4      |     4      |  0.416528s   |
|    Write    |     800m     |      100m      |      5      |     4      |   0.32943s   |
|    Write    |     800m     |      100m      |      6      |     4      |  0.369048s   |
|    Write    |     800m     |      100m      |      7      |     4      |  0.597864s   |
| Total_Write |     800m     |      100m      |      8      |     4      |  0.376128s   |
|     Read    |     800m     |      100m      |      8      |     0      |  0.289819s   |
|     Read    |     800m     |      100m      |      8      |     1      |   0.26597s   |
|     Read    |     800m     |      100m      |      8      |     2      |  0.237666s   |
|     Read    |     800m     |      100m      |      8      |     3      |  0.243913s   |
|  Total_Read |     400m     |      100m      |      8      |     4      |  0.259342s   |
|  AIO_Write  |     800m     |      100m      |      8      |     4      |   8.31522s   |
|   AIO_Read  |     800m     |      100m      |      8      |     4      |   2.31279s   |
|  MMap_Write |     800m     |      100m      |      8      |     4      |   3.79259s   |
|  MMap_Read  |     800m     |      100m      |      8      |     4      |   1.96141s   |
| UMmap_Write |     800m     |      100m      |      8      |     4      |  0.707348s   |
|  UMmap_Read |     800m     |      100m      |      8      |     4      |   0.95496s   |
|    Write    |     800m     |      100m      |      0      |     8      |  0.282105s   |
|    Write    |     800m     |      100m      |      1      |     8      |  0.410937s   |
|    Write    |     800m     |      100m      |      2      |     8      |  0.321952s   |
|    Write    |     800m     |      100m      |      3      |     8      |  0.372548s   |
|    Write    |     800m     |      100m      |      4      |     8      |  0.467187s   |
|    Write    |     800m     |      100m      |      5      |     8      |  0.410921s   |
|    Write    |     800m     |      100m      |      6      |     8      |  0.409822s   |
|    Write    |     800m     |      100m      |      7      |     8      |  0.540581s   |
| Total_Write |     800m     |      100m      |      8      |     8      |  0.402007s   |
|     Read    |     800m     |      100m      |      8      |     0      |  0.292414s   |
|     Read    |     800m     |      100m      |      8      |     1      |   0.24221s   |
|     Read    |     800m     |      100m      |      8      |     2      |  0.243841s   |
|     Read    |     800m     |      100m      |      8      |     3      |  0.266499s   |
|     Read    |     800m     |      100m      |      8      |     4      |   0.25585s   |
|     Read    |     800m     |      100m      |      8      |     5      |  0.241086s   |
|     Read    |     800m     |      100m      |      8      |     6      |  0.266665s   |
|     Read    |     800m     |      100m      |      8      |     7      |  0.312487s   |
|  Total_Read |     800m     |      100m      |      8      |     8      |  0.265131s   |
|  AIO_Write  |     800m     |      100m      |      8      |     8      |   8.63139s   |
|   AIO_Read  |     800m     |      100m      |      8      |     8      |   5.16709s   |
|  MMap_Write |     800m     |      100m      |      8      |     8      |   3.70012s   |
|  MMap_Read  |     800m     |      100m      |      8      |     8      |   3.7676s    |
