I_O ,Buffer_Size_KB ,Write_Count ,Read_Count ,Time_Taken_s
Write,1,1,1,8.2e-05s
Read,1,1,1,6e-06s
AIO_Write,1,1,1,0.009566s
AIO_Read,1,1,1,0.000214s
Write,2,2,1,5.6e-05s
Read,1,2,1,4e-06s
AIO_Write,2,2,1,0.008374s
AIO_Read,1,2,1,4.7e-05s
Write,4,4,1,5.7e-05s
Read,1,4,1,4e-06s
AIO_Write,4,4,1,0.009325s
AIO_Read,1,4,1,4.1e-05s
Write,6,6,1,6.6e-05s
Read,1,6,1,4e-06s
AIO_Write,6,6,1,0.011611s
AIO_Read,1,6,1,3.7e-05s
Write,8,8,1,6.7e-05s
Read,1,8,1,7e-06s
AIO_Write,8,8,1,0.014851s
AIO_Read,1,8,1,3.5e-05s
Write,10,10,1,0.002972s
Read,1,10,1,1.1e-05s
AIO_Write,10,10,1,0.019638s
AIO_Read,1,10,1,4.9e-05s
Write,2,2,2,6.6e-05s
Read,2,2,2,6e-06s
AIO_Write,2,2,2,0.009083s
AIO_Read,2,2,2,4.5e-05s
Write,4,4,2,6e-05s
Read,2,4,2,5e-06s
AIO_Write,4,4,2,0.020604s
AIO_Read,2,4,2,3.8e-05s
Write,6,6,2,6.5e-05s
Read,2,6,2,5e-06s
AIO_Write,6,6,2,0.006156s
AIO_Read,2,6,2,3.3e-05s
Write,8,8,2,7.5e-05s
Read,2,8,2,5e-06s
AIO_Write,8,8,2,0.010623s
AIO_Read,2,8,2,4.4e-05s
Write,10,10,2,7.6e-05s
Read,2,10,2,5e-06s
AIO_Write,10,10,2,0.019015s
AIO_Read,2,10,2,3.8e-05s
Write,4,4,4,5.7e-05s
Read,4,4,4,6e-06s
AIO_Write,4,4,4,0.015245s
AIO_Read,4,4,4,4.4e-05s
Write,6,6,4,7.1e-05s
Read,4,6,4,7e-06s
AIO_Write,6,6,4,0.012805s
AIO_Read,4,6,4,4.2e-05s
Write,8,8,4,6.9e-05s
Read,4,8,4,6e-06s
AIO_Write,8,8,4,0.012708s
AIO_Read,4,8,4,4.5e-05s
Write,10,10,4,7.7e-05s
Read,4,10,4,6e-06s
AIO_Write,10,10,4,0.022941s
AIO_Read,4,10,4,4.4e-05s
Write,6,6,6,7.1e-05s
Read,6,6,6,1.6e-05s
AIO_Write,6,6,6,0.007994s
AIO_Read,6,6,6,3.9e-05s
Write,8,8,6,7e-05s
Read,6,8,6,8e-06s
AIO_Write,8,8,6,0.014779s
AIO_Read,6,8,6,3.5e-05s
Write,10,10,6,8.6e-05s
Read,6,10,6,1e-05s
AIO_Write,10,10,6,0.01306s
AIO_Read,6,10,6,3.8e-05s
Write,8,8,8,8.4e-05s
Read,8,8,8,1.2e-05s
AIO_Write,8,8,8,0.007496s
AIO_Read,8,8,8,4.4e-05s
Write,10,10,8,7.5e-05s
Read,8,10,8,1e-05s
AIO_Write,10,10,8,0.020272s
AIO_Read,8,10,8,4.8e-05s
Write,10,10,10,8.3e-05s
Read,10,10,10,1.2e-05s
AIO_Write,10,10,10,0.00607s
AIO_Read,10,10,10,3.2e-05s
Write,8,1,1,8.4e-05s
Read,8,1,1,5e-06s
AIO_Write,8,1,1,0.01815s
AIO_Read,8,1,1,4.9e-05s
