I_O 		Buffer_Size_KB 		Write_Count 		Read_Count 		Time_Taken_s
Write		1		1		1		5.1e-05s
Read		1		1		1		4e-06s
AIO_Write		1		1		1		0.007758s
AIO_Read		1		1		1		3.7e-05s
MMap_Write		1		1		1		0.008984s
MMap_Read		1		1		1		0.000132s
UMmap_Write		1		1		1		0.008826s
UMmap_Read		1		1		1		0.007959s
Write		2		2		1		6.4e-05s
Read		1		2		1		5e-06s
AIO_Write		2		2		1		0.014323s
AIO_Read		1		2		1		4.5e-05s
MMap_Write		2		2		1		0.00551s
MMap_Read		1		2		1		0.000118s
UMmap_Write		2		2		1		0.008578s
UMmap_Read		1		2		1		0.006917s
Write		2		2		2		5.2e-05s
Read		2		2		2		5e-06s
AIO_Write		2		2		2		0.013294s
AIO_Read		2		2		2		4.9e-05s
MMap_Write		2		2		2		0.007002s
MMap_Read		2		2		2		0.000102s
UMmap_Write		2		2		2		0.00846s
UMmap_Read		2		2		2		0.010161s
Write		4		4		1		5.9e-05s
Read		1		4		1		6e-06s
AIO_Write		4		4		1		0.02108s
AIO_Read		1		4		1		3.5e-05s
MMap_Write		4		4		1		0.004953s
MMap_Read		1		4		1		8.2e-05s
UMmap_Write		4		4		1		0.006939s
UMmap_Read		1		4		1		0.007947s
Write		4		4		2		5.7e-05s
Read		2		4		2		5e-06s
AIO_Write		4		4		2		0.013825s
AIO_Read		2		4		2		4.4e-05s
MMap_Write		4		4		2		0.008207s
MMap_Read		2		4		2		0.00013s
UMmap_Write		4		4		2		0.008435s
UMmap_Read		2		4		2		0.009154s
Write		4		4		4		6.8e-05s
Read		4		4		4		7e-06s
AIO_Write		4		4		4		0.008929s
AIO_Read		4		4		4		6.2e-05s
MMap_Write		4		4		4		0.006295s
MMap_Read		4		4		4		0.000141s
UMmap_Write		4		4		4		0.007173s
UMmap_Read		4		4		4		0.008346s
Write		6		6		1		9.9e-05s
Read		1		6		1		9.2e-05s
AIO_Write		6		6		1		0.011782s
AIO_Read		1		6		1		3.8e-05s
MMap_Write		6		6		1		0.004872s
MMap_Read		1		6		1		0.000128s
UMmap_Write		6		6		1		0.008675s
UMmap_Read		1		6		1		0.007052s
Write		6		6		2		7.3e-05s
Read		2		6		2		6e-06s
AIO_Write		6		6		2		0.00822s
AIO_Read		2		6		2		4.9e-05s
MMap_Write		6		6		2		0.0053s
MMap_Read		2		6		2		8.8e-05s
UMmap_Write		6		6		2		0.009471s
UMmap_Read		2		6		2		0.011079s
Write		6		6		4		6.8e-05s
Read		4		6		4		7e-06s
AIO_Write		6		6		4		0.007538s
AIO_Read		4		6		4		4.9e-05s
MMap_Write		6		6		4		0.005381s
MMap_Read		4		6		4		9.1e-05s
UMmap_Write		6		6		4		0.009973s
UMmap_Read		4		6		4		0.007314s
Write		6		6		6		8.5e-05s
Read		6		6		6		1e-05s
AIO_Write		6		6		6		0.012449s
AIO_Read		6		6		6		0.002413s
MMap_Write		6		6		6		0.005464s
MMap_Read		6		6		6		0.00016s
UMmap_Write		6		6		6		0.007047s
UMmap_Read		6		6		6		0.007119s
Write		8		8		1		8.3e-05s
Read		1		8		1		6e-06s
AIO_Write		8		8		1		0.010183s
AIO_Read		1		8		1		4e-05s
MMap_Write		8		8		1		0.004362s
MMap_Read		1		8		1		0.000137s
UMmap_Write		8		8		1		0.010553s
UMmap_Read		1		8		1		0.009799s
Write		8		8		2		0.000147s
Read		2		8		2		6e-06s
AIO_Write		8		8		2		0.008965s
AIO_Read		2		8		2		3.9e-05s
MMap_Write		8		8		2		0.005721s
MMap_Read		2		8		2		8e-05s
UMmap_Write		8		8		2		0.008147s
UMmap_Read		2		8		2		0.009039s
Write		8		8		4		6.8e-05s
Read		4		8		4		7e-06s
AIO_Write		8		8		4		0.010184s
AIO_Read		4		8		4		3.8e-05s
MMap_Write		8		8		4		0.005389s
MMap_Read		4		8		4		0.000134s
UMmap_Write		8		8		4		0.008556s
UMmap_Read		4		8		4		0.008895s
Write		8		8		6		7.1e-05s
Read		6		8		6		8e-06s
AIO_Write		8		8		6		0.01258s
AIO_Read		6		8		6		5.4e-05s
MMap_Write		8		8		6		0.005304s
MMap_Read		6		8		6		0.000156s
UMmap_Write		8		8		6		0.007906s
UMmap_Read		6		8		6		0.00869s
Write		8		8		8		6.8e-05s
Read		8		8		8		1e-05s
AIO_Write		8		8		8		0.009125s
AIO_Read		8		8		8		4.1e-05s
MMap_Write		8		8		8		0.006022s
MMap_Read		8		8		8		0.000102s
UMmap_Write		8		8		8		0.008881s
UMmap_Read		8		8		8		0.007125s
Write		10		10		1		8e-05s
Read		1		10		1		5e-06s
AIO_Write		10		10		1		0.007064s
AIO_Read		1		10		1		0.019924s
MMap_Write		10		10		1		0.006572s
MMap_Read		1		10		1		0.000103s
UMmap_Write		10		10		1		0.011339s
UMmap_Read		1		10		1		0.009406s
Write		10		10		2		9.3e-05s
Read		2		10		2		6e-06s
AIO_Write		10		10		2		0.009272s
AIO_Read		2		10		2		4.9e-05s
MMap_Write		10		10		2		0.003843s
MMap_Read		2		10		2		0.000164s
UMmap_Write		10		10		2		0.008759s
UMmap_Read		2		10		2		0.009443s
Write		10		10		4		9.2e-05s
Read		4		10		4		8e-06s
AIO_Write		10		10		4		0.005342s
AIO_Read		4		10		4		4.2e-05s
MMap_Write		10		10		4		0.004563s
MMap_Read		4		10		4		0.000156s
UMmap_Write		10		10		4		0.01876s
UMmap_Read		4		10		4		0.006972s
Write		10		10		6		7.3e-05s
Read		6		10		6		9e-06s
AIO_Write		10		10		6		0.011919s
AIO_Read		6		10		6		4.5e-05s
MMap_Write		10		10		6		0.005156s
MMap_Read		6		10		6		0.000141s
UMmap_Write		10		10		6		0.007198s
UMmap_Read		6		10		6		0.007212s
Write		10		10		8		9.2e-05s
Read		8		10		8		1.1e-05s
AIO_Write		10		10		8		0.006549s
AIO_Read		8		10		8		3.9e-05s
MMap_Write		10		10		8		0.005184s
MMap_Read		8		10		8		0.000127s
UMmap_Write		10		10		8		0.01253s
UMmap_Read		8		10		8		0.00692s
Write		10		10		10		0.000138s
Read		10		10		10		1.2e-05s
AIO_Write		10		10		10		0.011136s
AIO_Read		10		10		10		4.1e-05s
MMap_Write		10		10		10		0.00451s
MMap_Read		10		10		10		0.000159s
UMmap_Write		10		10		10		0.008289s
UMmap_Read		10		10		10		0.007193s
Write		8		1		1		8.5e-05s
Read		8		1		1		5e-06s
AIO_Write		8		1		1		0.006644s
AIO_Read		8		1		1		0.008889s
MMap_Write		8		1		1		0.005447s
MMap_Read		8		1		1		0.000168s
UMmap_Write		8		1		1		0.007784s
UMmap_Read		8		1		1		0.009616s
Write		16		2		1		9.9e-05s
Read		8		2		1		5e-06s
AIO_Write		16		2		1		0.01017s
AIO_Read		8		2		1		4.3e-05s
MMap_Write		16		2		1		0.004967s
MMap_Read		8		2		1		0.00013s
UMmap_Write		16		2		1		0.009626s
UMmap_Read		8		2		1		0.011565s
Write		16		2		2		8.6e-05s
Read		16		2		2		6e-06s
AIO_Write		16		2		2		0.020503s
AIO_Read		16		2		2		3.9e-05s
MMap_Write		16		2		2		0.004365s
MMap_Read		16		2		2		0.000163s
UMmap_Write		16		2		2		0.007515s
UMmap_Read		16		2		2		0.00969s
Write		32		4		1		0.000101s
Read		8		4		1		6e-06s
AIO_Write		32		4		1		0.01201s
AIO_Read		8		4		1		6.8e-05s
MMap_Write		32		4		1		0.007053s
MMap_Read		8		4		1		0.000108s
UMmap_Write		32		4		1		0.008447s
UMmap_Read		8		4		1		0.009131s
Write		32		4		2		0.000129s
Read		16		4		2		9e-06s
AIO_Write		32		4		2		0.010737s
AIO_Read		16		4		2		5e-05s
MMap_Write		32		4		2		0.00505s
MMap_Read		16		4		2		0.000159s
UMmap_Write		32		4		2		0.009523s
UMmap_Read		16		4		2		0.007568s
Write		32		4		4		0.000125s
Read		32		4		4		1.8e-05s
AIO_Write		32		4		4		0.014324s
AIO_Read		32		4		4		4.4e-05s
MMap_Write		32		4		4		0.00478s
MMap_Read		32		4		4		0.000157s
UMmap_Write		32		4		4		0.016221s
