+-------------+--------------+----------------+-------------+------------+--------------+
|     I_O     | File_Size_KB | Buffer_size_KB | Write_Count | Read_Count | Time_Taken_s |
+-------------+--------------+----------------+-------------+------------+--------------+
|    Write    |      1k      |       1k       |      0      |     1      |   3.3e-05s   |
| Total_Write |      1k      |       1k       |      1      |     1      |   3.3e-05s   |
|     Read    |      1k      |       1k       |      1      |     0      |  0.068901s   |
|  Total_Read |      1k      |       1k       |      1      |     1      |  0.068901s   |
|  AIO_Write  |      1k      |       1k       |      1      |     1      |   0.11758s   |
|   AIO_Read  |      1k      |       1k       |      1      |     1      |  0.217136s   |
|  MMap_Write |      1k      |       1k       |      1      |     1      |  0.258288s   |
|  MMap_Read  |      1k      |       1k       |      1      |     1      |  0.096586s   |
| UMmap_Write |      1k      |       1k       |      1      |     1      |  0.285802s   |
|  UMmap_Read |      1k      |       1k       |      1      |     1      |  0.425349s   |
|    Write    |      4k      |       1k       |      0      |     1      |   4.1e-05s   |
|    Write    |      4k      |       1k       |      1      |     1      |   1.5e-05s   |
|    Write    |      4k      |       1k       |      2      |     1      |    5e-06s    |
|    Write    |      4k      |       1k       |      3      |     1      |    4e-06s    |
| Total_Write |      4k      |       1k       |      4      |     1      |  1.625e-05s  |
|     Read    |      4k      |       1k       |      4      |     0      |  0.013098s   |
|  Total_Read |      1k      |       1k       |      4      |     1      |  0.013098s   |
|  AIO_Write  |      4k      |       1k       |      4      |     1      |  0.042911s   |
|   AIO_Read  |      4k      |       1k       |      4      |     1      |  0.149859s   |
|  MMap_Write |      4k      |       1k       |      4      |     1      |   0.34243s   |
|  MMap_Read  |      4k      |       1k       |      4      |     1      |  0.148258s   |
| UMmap_Write |      4k      |       1k       |      4      |     1      |  0.288992s   |
|  UMmap_Read |      4k      |       1k       |      4      |     1      |   0.44623s   |
|    Write    |      4k      |       1k       |      0      |     4      |   2.9e-05s   |
|    Write    |      4k      |       1k       |      1      |     4      |   1.6e-05s   |
|    Write    |      4k      |       1k       |      2      |     4      |    5e-06s    |
|    Write    |      4k      |       1k       |      3      |     4      |    6e-06s    |
| Total_Write |      4k      |       1k       |      4      |     4      |   1.4e-05s   |
|     Read    |      4k      |       1k       |      4      |     0      |   0.05165s   |
|     Read    |      4k      |       1k       |      4      |     1      |    5e-06s    |
|     Read    |      4k      |       1k       |      4      |     2      |    1e-06s    |
|     Read    |      4k      |       1k       |      4      |     3      |    1e-06s    |
|  Total_Read |      4k      |       1k       |      4      |     4      |  0.0129143s  |
|  AIO_Write  |      4k      |       1k       |      4      |     4      |  0.114267s   |
|   AIO_Read  |      4k      |       1k       |      4      |     4      |  0.059977s   |
|  MMap_Write |      4k      |       1k       |      4      |     4      |  0.388958s   |
|  MMap_Read  |      4k      |       1k       |      4      |     4      |  0.124711s   |
| UMmap_Write |      4k      |       1k       |      4      |     4      |  0.364134s   |
|  UMmap_Read |      4k      |       1k       |      4      |     4      |  0.420982s   |
|    Write    |      8k      |       1k       |      0      |     1      |   2.5e-05s   |
|    Write    |      8k      |       1k       |      1      |     1      |   1.8e-05s   |
|    Write    |      8k      |       1k       |      2      |     1      |    5e-06s    |
|    Write    |      8k      |       1k       |      3      |     1      |    6e-06s    |
|    Write    |      8k      |       1k       |      4      |     1      |   1.4e-05s   |
|    Write    |      8k      |       1k       |      5      |     1      |   2.1e-05s   |
|    Write    |      8k      |       1k       |      6      |     1      |    6e-06s    |
|    Write    |      8k      |       1k       |      7      |     1      |    5e-06s    |
| Total_Write |      8k      |       1k       |      8      |     1      |  1.25e-05s   |
|     Read    |      8k      |       1k       |      8      |     0      |  0.114817s   |
|  Total_Read |      1k      |       1k       |      8      |     1      |  0.114817s   |
|  AIO_Write  |      8k      |       1k       |      8      |     1      |  0.233684s   |
|   AIO_Read  |      8k      |       1k       |      8      |     1      |  0.194077s   |
|  MMap_Write |      8k      |       1k       |      8      |     1      |  0.390985s   |
|  MMap_Read  |      8k      |       1k       |      8      |     1      |   0.12449s   |
| UMmap_Write |      8k      |       1k       |      8      |     1      |  0.209373s   |
|  UMmap_Read |      8k      |       1k       |      8      |     1      |  0.715057s   |
|    Write    |      8k      |       1k       |      0      |     4      |   2.7e-05s   |
|    Write    |      8k      |       1k       |      1      |     4      |   1.5e-05s   |
|    Write    |      8k      |       1k       |      2      |     4      |    5e-06s    |
|    Write    |      8k      |       1k       |      3      |     4      |    5e-06s    |
|    Write    |      8k      |       1k       |      4      |     4      |   1.8e-05s   |
|    Write    |      8k      |       1k       |      5      |     4      |    5e-06s    |
|    Write    |      8k      |       1k       |      6      |     4      |    4e-06s    |
|    Write    |      8k      |       1k       |      7      |     4      |    5e-06s    |
| Total_Write |      8k      |       1k       |      8      |     4      |  1.05e-05s   |
|     Read    |      8k      |       1k       |      8      |     0      |  0.262847s   |
|     Read    |      8k      |       1k       |      8      |     1      |    5e-06s    |
|     Read    |      8k      |       1k       |      8      |     2      |    1e-06s    |
|     Read    |      8k      |       1k       |      8      |     3      |    1e-06s    |
|  Total_Read |      4k      |       1k       |      8      |     4      |  0.0657135s  |
|  AIO_Write  |      8k      |       1k       |      8      |     4      |  0.184237s   |
|   AIO_Read  |      8k      |       1k       |      8      |     4      |  0.151717s   |
|  MMap_Write |      8k      |       1k       |      8      |     4      |  0.329804s   |
|  MMap_Read  |      8k      |       1k       |      8      |     4      |  0.131727s   |
| UMmap_Write |      8k      |       1k       |      8      |     4      |  0.293245s   |
|  UMmap_Read |      8k      |       1k       |      8      |     4      |  0.485362s   |
|    Write    |      8k      |       1k       |      0      |     8      |   2.3e-05s   |
|    Write    |      8k      |       1k       |      1      |     8      |    1e-05s    |
|    Write    |      8k      |       1k       |      2      |     8      |    4e-06s    |
|    Write    |      8k      |       1k       |      3      |     8      |    3e-06s    |
|    Write    |      8k      |       1k       |      4      |     8      |    9e-06s    |
|    Write    |      8k      |       1k       |      5      |     8      |    5e-06s    |
|    Write    |      8k      |       1k       |      6      |     8      |    4e-06s    |
|    Write    |      8k      |       1k       |      7      |     8      |    5e-06s    |
| Total_Write |      8k      |       1k       |      8      |     8      |  7.875e-06s  |
|     Read    |      8k      |       1k       |      8      |     0      |  0.098645s   |
|     Read    |      8k      |       1k       |      8      |     1      |    5e-06s    |
|     Read    |      8k      |       1k       |      8      |     2      |    2e-06s    |
|     Read    |      8k      |       1k       |      8      |     3      |    1e-06s    |
|     Read    |      8k      |       1k       |      8      |     4      |    3e-06s    |
|     Read    |      8k      |       1k       |      8      |     5      |    1e-06s    |
|     Read    |      8k      |       1k       |      8      |     6      |    2e-06s    |
|     Read    |      8k      |       1k       |      8      |     7      |    1e-06s    |
|  Total_Read |      8k      |       1k       |      8      |     8      |  0.0123325s  |
|  AIO_Write  |      8k      |       1k       |      8      |     8      |  0.144596s   |
|   AIO_Read  |      8k      |       1k       |      8      |     8      |  0.164683s   |
|  MMap_Write |      8k      |       1k       |      8      |     8      |  0.250794s   |
|  MMap_Read  |      8k      |       1k       |      8      |     8      |  0.236894s   |
| UMmap_Write |      8k      |       1k       |      8      |     8      |  0.157694s   |
|  UMmap_Read |      8k      |       1k       |      8      |     8      |  0.424957s   |
|    Write    |     10k      |       1k       |      0      |     1      |   3.5e-05s   |
|    Write    |     10k      |       1k       |      1      |     1      |   1.4e-05s   |
|    Write    |     10k      |       1k       |      2      |     1      |    5e-06s    |
|    Write    |     10k      |       1k       |      3      |     1      |    4e-06s    |
|    Write    |     10k      |       1k       |      4      |     1      |   1.5e-05s   |
|    Write    |     10k      |       1k       |      5      |     1      |    8e-06s    |
|    Write    |     10k      |       1k       |      6      |     1      |    5e-06s    |
|    Write    |     10k      |       1k       |      7      |     1      |    7e-06s    |
|    Write    |     10k      |       1k       |      8      |     1      |   1.2e-05s   |
|    Write    |     10k      |       1k       |      9      |     1      |    6e-06s    |
| Total_Write |     10k      |       1k       |      10     |     1      |  1.11e-05s   |
|     Read    |     10k      |       1k       |      10     |     0      |  0.097864s   |
|  Total_Read |      1k      |       1k       |      10     |     1      |  0.097864s   |
|  AIO_Write  |     10k      |       1k       |      10     |     1      |  0.087724s   |
|   AIO_Read  |     10k      |       1k       |      10     |     1      |  0.082891s   |
|  MMap_Write |     10k      |       1k       |      10     |     1      |  0.189481s   |
|  MMap_Read  |     10k      |       1k       |      10     |     1      |  0.189717s   |
| UMmap_Write |     10k      |       1k       |      10     |     1      |  0.312595s   |
|  UMmap_Read |     10k      |       1k       |      10     |     1      |  0.444855s   |
|    Write    |     10k      |       1k       |      0      |     4      |   2.5e-05s   |
|    Write    |     10k      |       1k       |      1      |     4      |   1.2e-05s   |
|    Write    |     10k      |       1k       |      2      |     4      |    5e-06s    |
|    Write    |     10k      |       1k       |      3      |     4      |    5e-06s    |
|    Write    |     10k      |       1k       |      4      |     4      |   1.2e-05s   |
|    Write    |     10k      |       1k       |      5      |     4      |    7e-06s    |
|    Write    |     10k      |       1k       |      6      |     4      |    8e-06s    |
|    Write    |     10k      |       1k       |      7      |     4      |    5e-06s    |
|    Write    |     10k      |       1k       |      8      |     4      |    8e-06s    |
|    Write    |     10k      |       1k       |      9      |     4      |    5e-06s    |
| Total_Write |     10k      |       1k       |      10     |     4      |   9.2e-06s   |
|     Read    |     10k      |       1k       |      10     |     0      |  0.096312s   |
|     Read    |     10k      |       1k       |      10     |     1      |    4e-06s    |
|     Read    |     10k      |       1k       |      10     |     2      |    1e-06s    |
|     Read    |     10k      |       1k       |      10     |     3      |    1e-06s    |
|  Total_Read |      4k      |       1k       |      10     |     4      |  0.0240795s  |
|  AIO_Write  |     10k      |       1k       |      10     |     4      |   0.03201s   |
|   AIO_Read  |     10k      |       1k       |      10     |     4      |  0.079106s   |
|  MMap_Write |     10k      |       1k       |      10     |     4      |  0.361901s   |
|  MMap_Read  |     10k      |       1k       |      10     |     4      |  0.259122s   |
| UMmap_Write |     10k      |       1k       |      10     |     4      |  0.145419s   |
|  UMmap_Read |     10k      |       1k       |      10     |     4      |  0.389395s   |
|    Write    |     10k      |       1k       |      0      |     8      |   2.5e-05s   |
|    Write    |     10k      |       1k       |      1      |     8      |    2e-05s    |
|    Write    |     10k      |       1k       |      2      |     8      |    5e-06s    |
|    Write    |     10k      |       1k       |      3      |     8      |    4e-06s    |
|    Write    |     10k      |       1k       |      4      |     8      |   1.5e-05s   |
|    Write    |     10k      |       1k       |      5      |     8      |    5e-06s    |
|    Write    |     10k      |       1k       |      6      |     8      |    5e-06s    |
|    Write    |     10k      |       1k       |      7      |     8      |    3e-06s    |
|    Write    |     10k      |       1k       |      8      |     8      |    8e-06s    |
|    Write    |     10k      |       1k       |      9      |     8      |    3e-06s    |
| Total_Write |     10k      |       1k       |      10     |     8      |   9.3e-06s   |
|     Read    |     10k      |       1k       |      10     |     0      |  0.039438s   |
|     Read    |     10k      |       1k       |      10     |     1      |   1.1e-05s   |
|     Read    |     10k      |       1k       |      10     |     2      |    2e-06s    |
|     Read    |     10k      |       1k       |      10     |     3      |    1e-06s    |
|     Read    |     10k      |       1k       |      10     |     4      |    3e-06s    |
|     Read    |     10k      |       1k       |      10     |     5      |    1e-06s    |
|     Read    |     10k      |       1k       |      10     |     6      |    1e-06s    |
|     Read    |     10k      |       1k       |      10     |     7      |    1e-06s    |
|  Total_Read |      8k      |       1k       |      10     |     8      | 0.00493225s  |
|  AIO_Write  |     10k      |       1k       |      10     |     8      |  0.017687s   |
|   AIO_Read  |     10k      |       1k       |      10     |     8      |  0.062331s   |
|  MMap_Write |     10k      |       1k       |      10     |     8      |  0.202171s   |
|  MMap_Read  |     10k      |       1k       |      10     |     8      |  0.161595s   |
| UMmap_Write |     10k      |       1k       |      10     |     8      |  0.445343s   |
|  UMmap_Read |     10k      |       1k       |      10     |     8      |  0.536002s   |
|    Write    |     10k      |       1k       |      0      |     10     |   2.3e-05s   |
|    Write    |     10k      |       1k       |      1      |     10     |   1.4e-05s   |
|    Write    |     10k      |       1k       |      2      |     10     |    6e-06s    |
|    Write    |     10k      |       1k       |      3      |     10     |    5e-06s    |
|    Write    |     10k      |       1k       |      4      |     10     |   1.7e-05s   |
|    Write    |     10k      |       1k       |      5      |     10     |    7e-06s    |
|    Write    |     10k      |       1k       |      6      |     10     |    6e-06s    |
|    Write    |     10k      |       1k       |      7      |     10     |    7e-06s    |
|    Write    |     10k      |       1k       |      8      |     10     |   1.5e-05s   |
|    Write    |     10k      |       1k       |      9      |     10     |    5e-06s    |
| Total_Write |     10k      |       1k       |      10     |     10     |  1.05e-05s   |
|     Read    |     10k      |       1k       |      10     |     0      |  0.070494s   |
|     Read    |     10k      |       1k       |      10     |     1      |    8e-06s    |
|     Read    |     10k      |       1k       |      10     |     2      |    2e-06s    |
|     Read    |     10k      |       1k       |      10     |     3      |    2e-06s    |
|     Read    |     10k      |       1k       |      10     |     4      |    3e-06s    |
|     Read    |     10k      |       1k       |      10     |     5      |    2e-06s    |
|     Read    |     10k      |       1k       |      10     |     6      |    1e-06s    |
|     Read    |     10k      |       1k       |      10     |     7      |    2e-06s    |
|     Read    |     10k      |       1k       |      10     |     8      |    2e-06s    |
|     Read    |     10k      |       1k       |      10     |     9      |    1e-06s    |
|  Total_Read |     10k      |       1k       |      10     |     10     |  0.0070517s  |
|  AIO_Write  |     10k      |       1k       |      10     |     10     |  0.003689s   |
|   AIO_Read  |     10k      |       1k       |      10     |     10     |  0.098066s   |
|  MMap_Write |     10k      |       1k       |      10     |     10     |  0.235967s   |
|  MMap_Read  |     10k      |       1k       |      10     |     10     |  0.067769s   |
| UMmap_Write |     10k      |       1k       |      10     |     10     |  0.452884s   |
|  UMmap_Read |     10k      |       1k       |      10     |     10     |  0.476875s   |
|    Write    |      8k      |       8k       |      0      |     1      |   3.3e-05s   |
| Total_Write |      8k      |       8k       |      1      |     1      |   3.3e-05s   |
|     Read    |      8k      |       8k       |      1      |     0      |  0.070665s   |
|  Total_Read |      8k      |       8k       |      1      |     1      |  0.070665s   |
|  AIO_Write  |      8k      |       8k       |      1      |     1      |  0.014445s   |
|   AIO_Read  |      8k      |       8k       |      1      |     1      |  0.104346s   |
