I_O 		File_Size_MB		Buffer_size_MB 		Write_Count 		Read_Count 		Time_Taken_s
Write		100m		100m		0		5		0.411424s
Total_Write		100m		100m		1		5		0.411424s
Read		100m		100m		1		0		0.326053s
Read		100m		100m		1		1		0.067744s
Read		100m		100m		1		2		0.049642s
Read		100m		100m		1		3		0.049179s
Read		100m		100m		1		4		0.052184s
Total_Read		500m		100m		1		5		0.10896s
AIO_Write		100m		100m		1		5		0.37952s
AIO_Read		100m		100m		1		5		0.265984s
MMap_Write		100m		100m		1		5		0.619168s
MMap_Read		100m		100m		1		5		0.613522s
UMmap_Write		100m		100m		1		5		0.369375s
UMmap_Read		100m		100m		1		5		2.01141s
Write		100m		100m		0		10		0.351741s
Total_Write		100m		100m		1		10		0.351741s
Read		100m		100m		1		0		0.310708s
Read		100m		100m		1		1		0.063358s
Read		100m		100m		1		2		0.04888s
Read		100m		100m		1		3		0.051068s
Read		100m		100m		1		4		0.050577s
Read		100m		100m		1		5		0.049109s
Read		100m		100m		1		6		0.050924s
Read		100m		100m		1		7		0.049814s
Read		100m		100m		1		8		0.048339s
Read		100m		100m		1		9		0.050912s
Total_Read		1000m		100m		1		10		0.0773689s
AIO_Write		100m		100m		1		10		0.380274s
AIO_Read		100m		100m		1		10		0.280086s
MMap_Write		100m		100m		1		10		0.608284s
MMap_Read		100m		100m		1		10		1.03741s
UMmap_Write		100m		100m		1		10		0.372125s
UMmap_Read		100m		100m		1		10		3.68071s
Write		100m		100m		0		15		0.352947s
Total_Write		100m		100m		1		15		0.352947s
Read		100m		100m		1		0		0.31995s
Read		100m		100m		1		1		0.067519s
Read		100m		100m		1		2		0.059739s
Read		100m		100m		1		3		0.060389s
Read		100m		100m		1		4		0.049888s
Read		100m		100m		1		5		0.049543s
Read		100m		100m		1		6		0.050406s
Read		100m		100m		1		7		0.048924s
Read		100m		100m		1		8		0.050041s
Read		100m		100m		1		9		0.047238s
Read		100m		100m		1		10		0.052314s
Read		100m		100m		1		11		0.050326s
Read		100m		100m		1		12		0.050756s
Read		100m		100m		1		13		0.049994s
Read		100m		100m		1		14		0.049665s
Total_Read		1500m		100m		1		15		0.0704461s
AIO_Write		100m		100m		1		15		0.379196s
AIO_Read		100m		100m		1		15		0.278581s
MMap_Write		100m		100m		1		15		0.610229s
MMap_Read		100m		100m		1		15		1.46444s
UMmap_Write		100m		100m		1		15		0.363953s
UMmap_Read		100m		100m		1		15		5.34982s
Write		200m		100m		0		5		0.344043s
Write		200m		100m		1		5		0.369923s
Total_Write		200m		100m		2		5		0.356983s
Read		200m		100m		2		0		0.316561s
Read		200m		100m		2		1		0.334086s
Read		200m		100m		2		2		0.067213s
Read		200m		100m		2		3		0.050857s
Read		200m		100m		2		4		0.04825s
Total_Read		500m		100m		2		5		0.163393s
AIO_Write		200m		100m		2		5		0.745037s
AIO_Read		200m		100m		2		5		0.530782s
MMap_Write		200m		100m		2		5		0.911163s
MMap_Read		200m		100m		2		5		0.625005s
UMmap_Write		200m		100m		2		5		0.717038s
UMmap_Read		200m		100m		2		5		2.00603s
Write		200m		100m		0		10		0.343624s
Write		200m		100m		1		10		0.384659s
Total_Write		200m		100m		2		10		0.364142s
Read		200m		100m		2		0		0.315296s
Read		200m		100m		2		1		0.338061s
Read		200m		100m		2		2		0.067112s
Read		200m		100m		2		3		0.050626s
Read		200m		100m		2		4		0.051181s
Read		200m		100m		2		5		0.049296s
Read		200m		100m		2		6		0.047748s
Read		200m		100m		2		7		0.054539s
Read		200m		100m		2		8		0.056467s
Read		200m		100m		2		9		0.055019s
Total_Read		1000m		100m		2		10		0.108535s
AIO_Write		200m		100m		2		10		0.745576s
AIO_Read		200m		100m		2		10		0.543046s
MMap_Write		200m		100m		2		10		0.911801s
MMap_Read		200m		100m		2		10		1.04607s
UMmap_Write		200m		100m		2		10		0.700125s
UMmap_Read		200m		100m		2		10		3.69185s
Write		200m		100m		0		15		0.340179s
Write		200m		100m		1		15		0.368697s
Total_Write		200m		100m		2		15		0.354438s
Read		200m		100m		2		0		0.326265s
Read		200m		100m		2		1		0.349199s
Read		200m		100m		2		2		0.069313s
Read		200m		100m		2		3		0.051123s
Read		200m		100m		2		4		0.050996s
Read		200m		100m		2		5		0.050393s
Read		200m		100m		2		6		0.059623s
Read		200m		100m		2		7		0.055491s
Read		200m		100m		2		8		0.04766s
Read		200m		100m		2		9		0.047974s
Read		200m		100m		2		10		0.050642s
Read		200m		100m		2		11		0.050624s
Read		200m		100m		2		12		0.047714s
Read		200m		100m		2		13		0.050171s
Read		200m		100m		2		14		0.050175s
Total_Read		1500m		100m		2		15		0.0904909s
AIO_Write		200m		100m		2		15		0.720096s
AIO_Read		200m		100m		2		15		0.544964s
MMap_Write		200m		100m		2		15		0.91009s
MMap_Read		200m		100m		2		15		1.45812s
UMmap_Write		200m		100m		2		15		0.701451s
UMmap_Read		200m		100m		2		15		5.31679s
Write		300m		100m		0		5		0.341823s
Write		300m		100m		1		5		0.374471s
Write		300m		100m		2		5		0.385118s
Total_Write		300m		100m		3		5		0.367137s
Read		300m		100m		3		0		0.318669s
Read		300m		100m		3		1		0.33955s
Read		300m		100m		3		2		0.341935s
Read		300m		100m		3		3		0.062974s
Read		300m		100m		3		4		0.051966s
Total_Read		500m		100m		3		5		0.223019s
AIO_Write		300m		100m		3		5		1.05798s
AIO_Read		300m		100m		3		5		0.824306s
MMap_Write		300m		100m		3		5		1.2182s
MMap_Read		300m		100m		3		5		0.627956s
UMmap_Write		300m		100m		3		5		1.03289s
UMmap_Read		300m		100m		3		5		2.04081s
Write		300m		100m		0		10		0.340557s
Write		300m		100m		1		10		0.371369s
Write		300m		100m		2		10		0.373463s
Total_Write		300m		100m		3		10		0.361796s
Read		300m		100m		3		0		0.318395s
Read		300m		100m		3		1		0.338419s
Read		300m		100m		3		2		0.343794s
Read		300m		100m		3		3		0.065997s
Read		300m		100m		3		4		0.052308s
Read		300m		100m		3		5		0.05147s
Read		300m		100m		3		6		0.052777s
Read		300m		100m		3		7		0.050331s
Read		300m		100m		3		8		0.055178s
Read		300m		100m		3		9		0.0541s
Total_Read		1000m		100m		3		10		0.138277s
AIO_Write		300m		100m		3		10		1.05895s
AIO_Read		300m		100m		3		10		0.824232s
MMap_Write		300m		100m		3		10		1.221s
MMap_Read		300m		100m		3		10		1.04378s
UMmap_Write		300m		100m		3		10		1.03133s
UMmap_Read		300m		100m		3		10		3.6782s
Write		300m		100m		0		15		0.342145s
Write		300m		100m		1		15		0.374669s
Write		300m		100m		2		15		0.376543s
Total_Write		300m		100m		3		15		0.364452s
Read		300m		100m		3		0		0.312261s
Read		300m		100m		3		1		0.343594s
Read		300m		100m		3		2		0.337262s
Read		300m		100m		3		3		0.100749s
Read		300m		100m		3		4		0.074814s
Read		300m		100m		3		5		0.054085s
Read		300m		100m		3		6		0.062792s
Read		300m		100m		3		7		0.051764s
Read		300m		100m		3		8		0.060151s
Read		300m		100m		3		9		0.056097s
Read		300m		100m		3		10		0.059618s
Read		300m		100m		3		11		0.055967s
Read		300m		100m		3		12		0.056559s
Read		300m		100m		3		13		0.059176s
Read		300m		100m		3		14		0.056564s
Total_Read		1500m		100m		3		15		0.116097s
AIO_Write		300m		100m		3		15		1.05878s
AIO_Read		300m		100m		3		15		0.816301s
MMap_Write		300m		100m		3		15		1.22838s
MMap_Read		300m		100m		3		15		1.46799s
