I_O 		File_Size_MB		Buffer_size_MB 		Write_Count 		Read_Count 		Time_Taken_s
Write		10m		10m		0		5		0.371058s
Total_Write		10m		10m		1		5		0.371058s
Read		10m		10m		1		0		0.489924s
Read		10m		10m		1		1		0.408959s
Read		10m		10m		1		2		0.384383s
Read		10m		10m		1		3		0.386717s
Read		10m		10m		1		4		0.426354s
Total_Read		50m		10m		1		5		0.419267s
AIO_Write		10m		10m		1		5		0.114995s
AIO_Read		10m		10m		1		5		0.062051s
MMap_Write		10m		10m		1		5		0.138114s
MMap_Read		10m		10m		1		5		0.194024s
UMmap_Write		10m		10m		1		5		0.08109s
UMmap_Read		10m		10m		1		5		0.341041s
Write		10m		10m		0		10		0.218474s
Total_Write		10m		10m		1		10		0.218474s
Read		10m		10m		1		0		0.20358s
Read		10m		10m		1		1		0.229177s
Read		10m		10m		1		2		0.241219s
Read		10m		10m		1		3		0.224808s
Read		10m		10m		1		4		0.223819s
Read		10m		10m		1		5		0.247317s
Read		10m		10m		1		6		0.202279s
Read		10m		10m		1		7		0.204867s
Read		10m		10m		1		8		0.236255s
Read		10m		10m		1		9		0.233186s
Total_Read		100m		10m		1		10		0.224651s
AIO_Write		10m		10m		1		10		0.065563s
AIO_Read		10m		10m		1		10		0.038443s
MMap_Write		10m		10m		1		10		0.083615s
MMap_Read		10m		10m		1		10		0.258014s
UMmap_Write		10m		10m		1		10		0.075288s
UMmap_Read		10m		10m		1		10		0.567767s
Write		10m		10m		0		15		0.256188s
Total_Write		10m		10m		1		15		0.256188s
Read		10m		10m		1		0		0.2359s
Read		10m		10m		1		1		0.247758s
Read		10m		10m		1		2		0.233277s
Read		10m		10m		1		3		0.233808s
Read		10m		10m		1		4		0.227481s
Read		10m		10m		1		5		0.213924s
Read		10m		10m		1		6		0.236225s
Read		10m		10m		1		7		0.227853s
Read		10m		10m		1		8		0.228304s
Read		10m		10m		1		9		0.228258s
Read		10m		10m		1		10		0.236981s
Read		10m		10m		1		11		0.229864s
Read		10m		10m		1		12		0.233539s
Read		10m		10m		1		13		0.229443s
Read		10m		10m		1		14		0.22912s
Total_Read		150m		10m		1		15		0.231449s
AIO_Write		10m		10m		1		15		0.059754s
AIO_Read		10m		10m		1		15		0.039485s
MMap_Write		10m		10m		1		15		0.083732s
MMap_Read		10m		10m		1		15		0.537438s
UMmap_Write		10m		10m		1		15		0.083124s
UMmap_Read		10m		10m		1		15		0.761454s
Write		20m		10m		0		5		0.248299s
Write		20m		10m		1		5		0.216908s
Total_Write		20m		10m		2		5		0.232603s
Read		20m		10m		2		0		0.241732s
Read		20m		10m		2		1		0.181817s
Read		20m		10m		2		2		0.168201s
Read		20m		10m		2		3		0.186879s
Read		20m		10m		2		4		0.152582s
Total_Read		50m		10m		2		5		0.186242s
AIO_Write		20m		10m		2		5		0.193624s
AIO_Read		20m		10m		2		5		0.097181s
MMap_Write		20m		10m		2		5		0.122434s
MMap_Read		20m		10m		2		5		0.123499s
UMmap_Write		20m		10m		2		5		0.129714s
UMmap_Read		20m		10m		2		5		0.331264s
Write		20m		10m		0		10		0.240782s
Write		20m		10m		1		10		0.255308s
Total_Write		20m		10m		2		10		0.248045s
Read		20m		10m		2		0		0.27638s
