I_O 		File_Size_MB		Buffer_size_MB 		Write_Count 		Read_Count 		Time_Taken_s
Write		10m		10m		0		1		0.190716s
Total_Write		10m		10m		1		1		0.190716s
Read		10m		10m		1		0		0.289245s
Total_Read		10m		10m		1		1		0.289245s
AIO_Write		10m		10m		1		1		0.12299s
AIO_Read		10m		10m		1		1		0.03605s
MMap_Write		10m		10m		1		1		0.104716s
MMap_Read		10m		10m		1		1		0.103345s
UMmap_Write		10m		10m		1		1		0.073214s
UMmap_Read		10m		10m		1		1		0.133475s
Write		50m		10m		0		5		0.241515s
Write		50m		10m		1		5		0.220001s
Write		50m		10m		2		5		0.213676s
Write		50m		10m		3		5		0.214067s
Write		50m		10m		4		5		0.24272s
Total_Write		50m		10m		5		5		0.226396s
Read		50m		10m		5		0		0.269447s
Read		50m		10m		5		1		0.267196s
Read		50m		10m		5		2		0.24297s
Read		50m		10m		5		3		0.262929s
Read		50m		10m		5		4		0.266394s
Total_Read		50m		10m		5		5		0.261787s
AIO_Write		50m		10m		5		5		0.288669s
AIO_Read		50m		10m		5		5		0.156006s
MMap_Write		50m		10m		5		5		0.268134s
MMap_Read		50m		10m		5		5		0.103289s
UMmap_Write		50m		10m		5		5		0.281205s
UMmap_Read		50m		10m		5		5		0.362806s
Write		100m		10m		0		10		0.250429s
Write		100m		10m		1		10		0.290081s
Write		100m		10m		2		10		0.250391s
Write		100m		10m		3		10		0.260411s
Write		100m		10m		4		10		0.284999s
Write		100m		10m		5		10		0.225334s
Write		100m		10m		6		10		0.280784s
Write		100m		10m		7		10		0.276778s
Write		100m		10m		8		10		0.273114s
Write		100m		10m		9		10		0.221138s
Total_Write		100m		10m		10		10		0.261346s
Read		100m		10m		10		0		0.269441s
Read		100m		10m		10		1		0.266988s
Read		100m		10m		10		2		0.274684s
Read		100m		10m		10		3		0.275429s
Read		100m		10m		10		4		0.265086s
Read		100m		10m		10		5		0.268819s
Read		100m		10m		10		6		0.277252s
Read		100m		10m		10		7		0.255767s
Read		100m		10m		10		8		0.271283s
Read		100m		10m		10		9		0.274319s
Total_Read		100m		10m		10		10		0.269907s
AIO_Write		100m		10m		10		10		0.607173s
AIO_Read		100m		10m		10		10		0.280288s
MMap_Write		100m		10m		10		10		0.642011s
MMap_Read		100m		10m		10		10		0.322773s
UMmap_Write		100m		10m		10		10		0.47118s
UMmap_Read		100m		10m		10		10		0.51606s
Write		20m		20m		0		1		0.324848s
Total_Write		20m		20m		1		1		0.324848s
Read		20m		20m		1		0		0.337606s
Total_Read		20m		20m		1		1		0.337606s
AIO_Write		20m		20m		1		1		0.22292s
AIO_Read		20m		20m		1		1		0.125343s
MMap_Write		20m		20m		1		1		0.266108s
MMap_Read		20m		20m		1		1		0.139814s
UMmap_Write		20m		20m		1		1		0.12746s
UMmap_Read		20m		20m		1		1		0.319262s
Write		100m		20m		0		5		0.321453s
Write		100m		20m		1		5		0.298417s
Write		100m		20m		2		5		0.337891s
Write		100m		20m		3		5		0.334157s
Write		100m		20m		4		5		0.343044s
Total_Write		100m		20m		5		5		0.326992s
Read		100m		20m		5		0		0.29347s
Read		100m		20m		5		1		0.242194s
Read		100m		20m		5		2		0.251045s
Read		100m		20m		5		3		0.295737s
Read		100m		20m		5		4		0.279002s
Total_Read		100m		20m		5		5		0.27229s
AIO_Write		100m		20m		5		5		1.13185s
AIO_Read		100m		20m		5		5		0.30348s
MMap_Write		100m		20m		5		5		0.973342s
MMap_Read		100m		20m		5		5		0.453536s
UMmap_Write		100m		20m		5		5		0.969518s
UMmap_Read		100m		20m		5		5		0.699349s
Write		200m		20m		0		10		0.274037s
Write		200m		20m		1		10		0.320947s
Write		200m		20m		2		10		0.310722s
Write		200m		20m		3		10		0.27996s
Write		200m		20m		4		10		0.322967s
Write		200m		20m		5		10		0.340507s
Write		200m		20m		6		10		0.299857s
Write		200m		20m		7		10		0.313543s
Write		200m		20m		8		10		0.248431s
Write		200m		20m		9		10		0.286772s
Total_Write		200m		20m		10		10		0.299774s
Read		200m		20m		10		0		0.31906s
Read		200m		20m		10		1		0.332091s
Read		200m		20m		10		2		0.349217s
Read		200m		20m		10		3		0.303702s
Read		200m		20m		10		4		0.358899s
Read		200m		20m		10		5		0.23713s
Read		200m		20m		10		6		0.241588s
Read		200m		20m		10		7		0.235975s
Read		200m		20m		10		8		0.226116s
Read		200m		20m		10		9		0.23076s
Total_Read		200m		20m		10		10		0.283454s
AIO_Write		200m		20m		10		10		3.173s
AIO_Read		200m		20m		10		10		0.585536s
MMap_Write		200m		20m		10		10		0.894969s
MMap_Read		200m		20m		10		10		0.70121s
UMmap_Write		200m		20m		10		10		1.05522s
UMmap_Read		200m		20m		10		10		1.03436s
Write		40m		40m		0		1		0.391449s
Total_Write		40m		40m		1		1		0.391449s
Read		40m		40m		1		0		0.274906s
Total_Read		40m		40m		1		1		0.274906s
AIO_Write		40m		40m		1		1		0.457772s
AIO_Read		40m		40m		1		1		0.136553s
MMap_Write		40m		40m		1		1		0.297962s
MMap_Read		40m		40m		1		1		0.227816s
UMmap_Write		40m		40m		1		1		0.183903s
UMmap_Read		40m		40m		1		1		0.439523s
Write		200m		40m		0		5		0.292237s
Write		200m		40m		1		5		0.414167s
Write		200m		40m		2		5		0.407391s
Write		200m		40m		3		5		0.364347s
Write		200m		40m		4		5		0.365743s
Total_Write		200m		40m		5		5		0.368777s
Read		200m		40m		5		0		0.368624s
Read		200m		40m		5		1		0.30099s
Read		200m		40m		5		2		0.382183s
Read		200m		40m		5		3		0.367088s
Read		200m		40m		5		4		0.355094s
Total_Read		200m		40m		5		5		0.354796s
AIO_Write		200m		40m		5		5		1.40072s
AIO_Read		200m		40m		5		5		0.622346s
MMap_Write		200m		40m		5		5		0.854741s
MMap_Read		200m		40m		5		5		0.769969s
UMmap_Write		200m		40m		5		5		1.04821s
UMmap_Read		200m		40m		5		5		1.19989s
Write		400m		40m		0		10		0.377221s
Write		400m		40m		1		10		0.369842s
Write		400m		40m		2		10		0.347689s
Write		400m		40m		3		10		0.402469s
Write		400m		40m		4		10		0.35794s
Write		400m		40m		5		10		0.35621s
Write		400m		40m		6		10		0.379947s
Write		400m		40m		7		10		0.429274s
Write		400m		40m		8		10		0.432594s
Write		400m		40m		9		10		0.459881s
Total_Write		400m		40m		10		10		0.391307s
Read		400m		40m		10		0		0.362321s
Read		400m		40m		10		1		0.378103s
Read		400m		40m		10		2		0.32148s
Read		400m		40m		10		3		0.327334s
Read		400m		40m		10		4		0.341424s
Read		400m		40m		10		5		0.338848s
Read		400m		40m		10		6		0.330141s
Read		400m		40m		10		7		0.312334s
Read		400m		40m		10		8		0.304431s
Read		400m		40m		10		9		0.36891s
Total_Read		400m		40m		10		10		0.338533s
AIO_Write		400m		40m		10		10		3.86079s
AIO_Read		400m		40m		10		10		2.41681s
MMap_Write		400m		40m		10		10		1.52343s
MMap_Read		400m		40m		10		10		1.56045s
UMmap_Write		400m		40m		10		10		2.41305s
UMmap_Read		400m		40m		10		10		1.62576s
Write		60m		60m		0		1		0.451145s
Total_Write		60m		60m		1		1		0.451145s
Read		60m		60m		1		0		0.515313s
Total_Read		60m		60m		1		1		0.515313s
AIO_Write		60m		60m		1		1		0.817164s
AIO_Read		60m		60m		1		1		0.228559s
MMap_Write		60m		60m		1		1		0.456449s
