+-------------+--------------+----------------+-------------+------------+--------------+
|     I_O     | File_Size_MB | Buffer_size_MB | Write_Count | Read_Count | Time_Taken_s |
+-------------+--------------+----------------+-------------+------------+--------------+
|    Write    |      1m      |       1m       |      0      |     1      |   0.20331s   |
| Total_Write |      1m      |       1m       |      1      |     1      |   0.20331s   |
|     Read    |      1m      |       1m       |      1      |     0      |  0.229282s   |
|  Total_Read |      1m      |       1m       |      1      |     1      |  0.229282s   |
|  AIO_Write  |      1m      |       1m       |      1      |     1      |  0.015165s   |
|   AIO_Read  |      1m      |       1m       |      1      |     1      |  0.007866s   |
|  MMap_Write |      1m      |       1m       |      1      |     1      |  0.021986s   |
|  MMap_Read  |      1m      |       1m       |      1      |     1      |  0.014375s   |
| UMmap_Write |      1m      |       1m       |      1      |     1      |  0.012652s   |
|  UMmap_Read |      1m      |       1m       |      1      |     1      |  0.023347s   |
|    Write    |      5m      |       1m       |      0      |     1      |  0.136527s   |
|    Write    |      5m      |       1m       |      1      |     1      |  0.167478s   |
|    Write    |      5m      |       1m       |      2      |     1      |  0.248589s   |
|    Write    |      5m      |       1m       |      3      |     1      |  0.155787s   |
|    Write    |      5m      |       1m       |      4      |     1      |  0.128026s   |
| Total_Write |      5m      |       1m       |      5      |     1      |  0.167281s   |
|     Read    |      5m      |       1m       |      5      |     0      |  0.130169s   |
|  Total_Read |      1m      |       1m       |      5      |     1      |  0.130169s   |
|  AIO_Write  |      5m      |       1m       |      5      |     1      |  0.043523s   |
|   AIO_Read  |      5m      |       1m       |      5      |     1      |  0.016889s   |
|  MMap_Write |      5m      |       1m       |      5      |     1      |  0.034429s   |
|  MMap_Read  |      5m      |       1m       |      5      |     1      |  0.020311s   |
| UMmap_Write |      5m      |       1m       |      5      |     1      |  0.060437s   |
|  UMmap_Read |      5m      |       1m       |      5      |     1      |  0.026193s   |
|    Write    |     10m      |       1m       |      0      |     1      |  0.229854s   |
|    Write    |     10m      |       1m       |      1      |     1      |  0.189293s   |
|    Write    |     10m      |       1m       |      2      |     1      |  0.219453s   |
|    Write    |     10m      |       1m       |      3      |     1      |  0.181241s   |
|    Write    |     10m      |       1m       |      4      |     1      |   0.20438s   |
|    Write    |     10m      |       1m       |      5      |     1      |  0.240015s   |
|    Write    |     10m      |       1m       |      6      |     1      |  0.249799s   |
|    Write    |     10m      |       1m       |      7      |     1      |  0.245712s   |
|    Write    |     10m      |       1m       |      8      |     1      |  0.274196s   |
|    Write    |     10m      |       1m       |      9      |     1      |  0.220628s   |
| Total_Write |     10m      |       1m       |      10     |     1      |  0.225457s   |
|     Read    |     10m      |       1m       |      10     |     0      |  0.244178s   |
|  Total_Read |      1m      |       1m       |      10     |     1      |  0.244178s   |
|  AIO_Write  |     10m      |       1m       |      10     |     1      |  0.065907s   |
|   AIO_Read  |     10m      |       1m       |      10     |     1      |   0.03028s   |
|  MMap_Write |     10m      |       1m       |      10     |     1      |  0.120829s   |
|  MMap_Read  |     10m      |       1m       |      10     |     1      |  0.017681s   |
| UMmap_Write |     10m      |       1m       |      10     |     1      |  0.082994s   |
|  UMmap_Read |     10m      |       1m       |      10     |     1      |  0.024447s   |
|    Write    |      5m      |       5m       |      0      |     1      |  0.198539s   |
| Total_Write |      5m      |       5m       |      1      |     1      |  0.198539s   |
