+-------------+----------------+-------------+------------+--------------+
|     I_O     | Buffer_Size_KB | Write_Count | Read_Count | Time_Taken_s |
+-------------+----------------+-------------+------------+--------------+
|    Write    |       1        |      1      |     1      |   6.6e-05s   |
|     Read    |       1        |      1      |     1      |    5e-06s    |
|  AIO_Write  |       1        |      1      |     1      |  0.006273s   |
|   AIO_Read  |       1        |      1      |     1      |   4.1e-05s   |
|    Write    |       2        |      2      |     1      |   5.4e-05s   |
|     Read    |       1        |      2      |     1      |   1.4e-05s   |
|  AIO_Write  |       2        |      2      |     1      |  0.010678s   |
|   AIO_Read  |       1        |      2      |     1      |   4.4e-05s   |
|    Write    |       4        |      4      |     1      |   7.6e-05s   |
|     Read    |       1        |      4      |     1      |    7e-06s    |
|  AIO_Write  |       4        |      4      |     1      |  0.018161s   |
|   AIO_Read  |       1        |      4      |     1      |    4e-05s    |
|    Write    |       6        |      6      |     1      |   6.7e-05s   |
|     Read    |       1        |      6      |     1      |    4e-06s    |
|  AIO_Write  |       6        |      6      |     1      |  0.006723s   |
|   AIO_Read  |       1        |      6      |     1      |   0.00026s   |
|    Write    |       8        |      8      |     1      |   7.6e-05s   |
|     Read    |       1        |      8      |     1      |    5e-06s    |
|  AIO_Write  |       8        |      8      |     1      |  0.007719s   |
|   AIO_Read  |       1        |      8      |     1      |   3.8e-05s   |
|    Write    |       10       |      10     |     1      |   7.4e-05s   |
|     Read    |       1        |      10     |     1      |    5e-06s    |
|  AIO_Write  |       10       |      10     |     1      |  0.008589s   |
|   AIO_Read  |       1        |      10     |     1      |   6.1e-05s   |
|    Write    |       2        |      2      |     2      |   5.6e-05s   |
|     Read    |       2        |      2      |     2      |    5e-06s    |
|  AIO_Write  |       2        |      2      |     2      |  0.007436s   |
|   AIO_Read  |       2        |      2      |     2      |  0.000326s   |
|    Write    |       4        |      4      |     2      |   6.2e-05s   |
|     Read    |       2        |      4      |     2      |    6e-06s    |
|  AIO_Write  |       4        |      4      |     2      |  0.009108s   |
|   AIO_Read  |       2        |      4      |     2      |   4.1e-05s   |
|    Write    |       6        |      6      |     2      |   6.8e-05s   |
|     Read    |       2        |      6      |     2      |    5e-06s    |
|  AIO_Write  |       6        |      6      |     2      |   0.01074s   |
|   AIO_Read  |       2        |      6      |     2      |   3.7e-05s   |
|    Write    |       8        |      8      |     2      |   7.2e-05s   |
|     Read    |       2        |      8      |     2      |    1e-05s    |
|  AIO_Write  |       8        |      8      |     2      |   0.01533s   |
|   AIO_Read  |       2        |      8      |     2      |   5.1e-05s   |
|    Write    |       10       |      10     |     2      |   8.2e-05s   |
|     Read    |       2        |      10     |     2      |    5e-06s    |
|  AIO_Write  |       10       |      10     |     2      |  0.008056s   |
|   AIO_Read  |       2        |      10     |     2      |    4e-05s    |
|    Write    |       4        |      4      |     4      |   5.9e-05s   |
|     Read    |       4        |      4      |     4      |    7e-06s    |
|  AIO_Write  |       4        |      4      |     4      |  0.012962s   |
|   AIO_Read  |       4        |      4      |     4      |    4e-05s    |
|    Write    |       6        |      6      |     4      |  0.000163s   |
|     Read    |       4        |      6      |     4      |    8e-06s    |
|  AIO_Write  |       6        |      6      |     4      |  0.004543s   |
|   AIO_Read  |       4        |      6      |     4      |  0.007644s   |
|    Write    |       8        |      8      |     4      |    9e-05s    |
|     Read    |       4        |      8      |     4      |    9e-06s    |
|  AIO_Write  |       8        |      8      |     4      |   0.00932s   |
|   AIO_Read  |       4        |      8      |     4      |   3.1e-05s   |
|    Write    |       10       |      10     |     4      |   8.3e-05s   |
|     Read    |       4        |      10     |     4      |    7e-06s    |
|  AIO_Write  |       10       |      10     |     4      |   0.00682s   |
|   AIO_Read  |       4        |      10     |     4      |   0.0002s    |
|    Write    |       6        |      6      |     6      |    7e-05s    |
|     Read    |       6        |      6      |     6      |    8e-06s    |
|  AIO_Write  |       6        |      6      |     6      |  0.009724s   |
|   AIO_Read  |       6        |      6      |     6      |   5.1e-05s   |
